customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,Female,93,10/12/1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11
2,Eli,Bockman,Male,81,12/16/1980,43,Administrative Officer,Financial Services,Mass Customer,N,Yes,16
3,Arlin,Dearle,Male,61,1/20/1954,70,Recruiting Manager,Property,Mass Customer,N,Yes,15
4,Talbot,,Male,33,10/3/1961,62,,IT,Mass Customer,N,No,7
5,Sheila-kathryn,Calton,Female,56,5/13/1977,46,Senior Editor,n/a,Affluent Customer,N,Yes,8
6,Curr,Duckhouse,Male,35,9/16/1966,57,,Retail,High Net Worth,N,Yes,13
7,Fina,Merali,Female,6,2/23/1976,48,,Financial Services,Affluent Customer,N,Yes,11
8,Rod,Inder,Male,31,3/30/1962,62,Media Manager I,n/a,Mass Customer,N,No,7
9,Mala,Lind,Female,97,3/10/1973,51,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8
10,Fiorenze,Birdall,Female,49,10/11/1988,35,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20
11,Uriah,Bisatt,Male,99,4/30/1954,70,,Property,Mass Customer,N,No,9
12,Sawyere,Flattman,Male,58,7/21/1994,29,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8
13,Gabriele,Norcross,Male,38,2/15/1955,69,Developer I,Financial Services,High Net Worth,N,Yes,8
14,Rayshell,Kitteman,Female,85,3/25/1983,41,Account Executive,Financial Services,Affluent Customer,N,No,6
15,Erroll,Radage,Male,91,7/13/2000,23,Junior Executive,Manufacturing,Mass Customer,N,No,1
16,Harlin,Parr,Male,38,2/27/1977,47,Media Manager IV,n/a,Mass Customer,N,Yes,18
17,Heath,Faraday,Male,57,3/19/1962,62,Sales Associate,n/a,Affluent Customer,N,Yes,15
18,Marjie,Neasham,Female,79,7/6/1967,56,Professor,n/a,Affluent Customer,N,No,11
19,Sorcha,Keyson,Female,76,4/15/2001,23,Geological Engineer,Manufacturing,High Net Worth,N,No,1
20,Basile,Firth,Male,72,8/13/1980,43,Project Manager,Manufacturing,Mass Customer,N,No,11
21,Mile,Cammocke,Male,74,9/20/1980,43,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16
22,Deeanne,Durtnell,Female,79,12/10/1962,61,,IT,Mass Customer,N,No,11
23,Olav,Polak,Male,43,2/10/1995,29,,n/a,High Net Worth,N,Yes,1
24,Kim,Skpsey,Female,55,12/3/1977,46,Research Assistant I,Argiculture,Mass Customer,N,Yes,15
25,Geoff,Assaf,Male,72,12/2/1976,47,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21
26,Trixi,Ginnelly,Female,12,6/10/1978,45,Editor,Financial Services,Mass Customer,N,Yes,16
27,Garvin,Klees,Male,37,9/25/1978,45,Research Nurse,Health,Mass Customer,N,Yes,12
28,Fee,Zellmer,Male,5,9/30/1973,50,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21
29,Mona,Sancraft,Female,62,6/22/1968,55,Safety Technician III,Manufacturing,Mass Customer,N,No,19
30,Darrick,Helleckas,Male,18,10/18/1961,62,,IT,Affluent Customer,N,Yes,6
31,Star,Praton,Female,3,11/24/1962,61,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14
32,Marion,Vanichkin,Female,17,4/20/1995,29,Legal Assistant,Manufacturing,Affluent Customer,N,No,4
33,Ernst,Hacon,Male,44,6/25/1957,66,Product Engineer,n/a,Affluent Customer,N,Yes,11
34,Jephthah,Bachmann,U,59,1843-12-21,#VALUE!,Legal Assistant,IT,Affluent Customer,N,No,20
35,Margaretha,Strettle,Female,40,9/28/1963,60,Information Systems Manager,Health,High Net Worth,N,Yes,16
36,Lurette,Stonnell,Female,33,11/9/1977,46,VP Quality Control,n/a,Affluent Customer,N,No,22
37,Laurie,Dwerryhouse,Female,46,12/22/1985,38,Social Worker,Health,High Net Worth,N,No,16
38,Cordi,Merman,Female,37,10/29/1955,68,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
39,Hunfredo,Smalley,Male,5,4/16/1979,45,Assistant Media Planner,Entertainment,Mass Customer,N,No,22
40,Tomasine,Jerche,Female,91,10/27/1981,42,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14
41,Basilius,Coupe,Male,64,4/14/1976,48,Food Chemist,Health,Mass Customer,N,No,16
42,Chiquita,Durnall,Female,24,3/28/1977,47,Accountant III,Manufacturing,Mass Customer,N,No,18
43,Indira,Belt,Female,38,3/1/1983,41,Director of Sales,Retail,Mass Customer,N,No,5
44,Neron,Verick,Male,63,10/18/1981,42,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17
45,Trace,Woodhead,Male,64,9/23/1975,48,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8
46,Kaila,Allin,Female,98,2/26/1972,52,,n/a,Affluent Customer,N,Yes,15
47,Matthew,Jeaycock,Male,51,10/22/1992,31,Registered Nurse,Health,Affluent Customer,N,No,2
48,Rebbecca,Casone,Female,46,8/15/1975,48,Biostatistician II,n/a,Mass Customer,N,Yes,8
49,Nolly,Ownsworth,Male,63,1/26/1994,30,VP Quality Control,n/a,Affluent Customer,N,No,1
50,Whitby,Schapero,Male,38,10/1/1980,43,Account Executive,Manufacturing,Mass Customer,N,Yes,16
51,Fidelio,Dilke,Male,68,12/5/1959,64,Computer Systems Analyst II,Retail,Mass Customer,N,No,18
52,Curran,Bentson,Male,57,6/22/1988,35,,Financial Services,Mass Customer,N,Yes,13
53,Agnella,Gocke,Female,22,4/18/1954,70,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
54,Loralyn,Wonfor,Female,2,7/24/1966,57,Sales Associate,Property,Mass Customer,N,Yes,18
55,Linc,Jillions,Male,48,9/24/1956,67,Paralegal,Financial Services,Affluent Customer,N,Yes,7
56,Reese,Ensor,Male,44,7/4/1996,27,VP Sales,Property,Mass Customer,N,Yes,4
57,Abba,Masedon,Male,87,6/13/1988,35,Chief Design Engineer,n/a,Mass Customer,N,Yes,13
58,Dalenna,Pinnock,Female,26,7/4/1967,56,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17
59,Niki,Heathcote,Male,60,2/8/2000,24,Physical Therapy Assistant,n/a,High Net Worth,N,No,3
60,Nadiya,Champerlen,Female,18,2/4/1970,54,,Manufacturing,Mass Customer,N,No,10
61,Kacey,Rowbottom,Female,47,11/29/1959,64,Help Desk Operator,Property,High Net Worth,N,No,13
62,Sorcha,Roggers,Female,38,7/6/1979,44,,IT,Mass Customer,N,Yes,22
63,Ebony,Zini,Female,58,7/3/1965,58,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16
64,Gerek,Yve,Male,73,3/25/1978,46,Legal Assistant,IT,High Net Worth,N,No,4
65,Yale,Tanser,Male,21,4/1/1976,48,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15
66,Anselm,Gawne,Male,46,3/11/2002,22,Account Executive,Argiculture,High Net Worth,N,No,1
67,Vernon,,Male,67,6/14/1960,63,Web Developer II,Retail,Mass Customer,N,No,18
68,Dahlia,Eddoes,Female,37,4/21/1974,50,Information Systems Manager,n/a,Affluent Customer,N,No,9
69,Heidi,Milner,Female,16,6/22/1969,54,Web Developer II,n/a,Mass Customer,N,No,6
70,Foster,Vannoort,Male,78,2/27/1993,31,Paralegal,Financial Services,Affluent Customer,N,No,8
71,Hoyt,Glavias,Male,30,1/27/1985,39,Research Associate,Argiculture,Affluent Customer,N,Yes,12
72,Sammy,Cheese,Male,93,2/13/1972,52,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16
73,Minette,Worters,Female,16,5/27/1960,63,Teacher,n/a,Affluent Customer,N,Yes,5
74,Pansy,Kiddie,Female,94,6/19/1969,54,,n/a,Mass Customer,N,Yes,6
75,Dollie,Sealy,Female,28,7/15/1978,45,VP Product Management,Property,Mass Customer,N,No,19
76,Rea,Hasser,Female,20,1/23/1978,46,Statistician II,Retail,High Net Worth,N,Yes,18
77,Shermie,Andrin,Male,79,9/12/1989,34,Automation Specialist IV,Financial Services,Mass Customer,N,No,7
78,Arch,Van der Kruis,Male,37,3/12/1985,39,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8
79,Tybi,Silliman,Female,76,10/2/1968,55,Account Executive,Manufacturing,Mass Customer,N,No,18
80,Pablo,Small,Male,11,4/24/1978,46,Data Coordiator,Entertainment,Mass Customer,N,No,13
81,Bee,Blazewicz,Female,58,9/4/1986,37,,Health,High Net Worth,N,No,13
82,Gleda,Cokely,Female,93,6/28/1965,58,Software Test Engineer III,Property,High Net Worth,N,No,19
83,Kerr,Simmell,Male,97,2/26/1967,57,Internal Auditor,IT,Mass Customer,N,Yes,18
84,Rich,Mathiasen,Male,78,2/7/1958,66,Accountant III,n/a,Mass Customer,N,Yes,14
85,Kane,Tixall,Male,1,5/21/1958,65,Analyst Programmer,n/a,Mass Customer,N,No,8
86,Job,Sleney,Male,75,3/4/1989,35,Occupational Therapist,Health,High Net Worth,N,Yes,7
87,Fields,Langdon,Male,78,4/23/1974,50,Editor,Financial Services,Mass Customer,N,No,8
88,Malynda,Tumber,Female,41,2/3/1966,58,Help Desk Operator,Property,High Net Worth,N,Yes,7
89,Benedicto,Hoxey,Male,74,1/22/1967,57,Speech Pathologist,Health,Mass Customer,N,Yes,14
90,Cary,Garron,Male,76,11/12/1984,39,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11
91,Dylan,Meaker,Male,69,2/24/1955,69,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
92,Jodee,Judkins,Female,98,9/11/1980,43,Recruiting Manager,Health,Mass Customer,N,No,12
93,Gordon,Gowar,Male,63,7/16/1976,47,Project Manager,Retail,Mass Customer,N,Yes,10
94,Wallache,Simchenko,Male,33,8/7/1974,49,Civil Engineer,Manufacturing,Mass Customer,N,No,21
