first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,R,S,T,U,V,Value
Chickie,Brister,Male,86,7/12/1957,66,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,0.49,0.61,0.77,0.65,1,1.719
Morly,Genery,Male,87,3/22/1970,54,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,0.99,0.99,1.24,1.05,1,1.719
Ardelis,Forrester,Female,88,8/28/1974,49,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1.03,1.03,1.29,1.29,1,1.719
Lucine,Stutt,Female,89,1/28/1979,45,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,0.59,0.74,0.92,0.92,4,1.703
Melinda,Hadlee,Female,90,9/21/1965,58,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,0.71,0.71,0.89,0.89,4,1.703
Druci,Brandli,Female,91,4/29/1951,73,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,0.84,1.05,1.31,1.31,6,1.672
Rutledge,Hallt,Male,92,10/6/1976,47,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,0.42,0.42,0.53,0.45,6,1.672
Nancie,Vian,Female,93,12/27/1972,51,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,1.04,1.3,1.63,1.38,8,1.656
Duff,Karlowicz,Male,94,4/28/1972,52,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,0.85,1.06,1.33,1.13,8,1.656
Barthel,Docket,Male,95,8/2/1985,38,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,0.77,0.96,1.2,1.02,10,1.641
Rockwell,Matson,Male,96,1/1/1995,29,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,0.43,0.43,0.54,0.54,10,1.641
Wheeler,Winward,Male,97,8/30/1999,24,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,0.7,0.7,0.88,0.74,12,1.625
Olag,,Male,98,5/13/1990,33,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,0.53,0.53,0.66,0.56,13,1.609
Melba,Spellacy,Female,99,12/9/1976,47,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,0.49,0.49,0.61,0.52,14,1.594
Mandie,Feares,Female,100,4/19/1964,60,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,0.95,0.95,1.19,1.01,14,1.594
Dukie,Swire,Male,101,3/31/1954,70,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,0.76,0.95,1.1875,1.1875,16,1.5625
Marcelia,Monkleigh,Female,102,8/22/1993,30,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,1.03,1.29,1.61,1.37,17,1.547
Winnifred,Beswetherick,Female,103,6/8/1976,47,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,1.04,1.04,1.3,1.11,17,1.547
Odilia,Quick,Female,104,11/9/1938,85,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,0.91,1.14,1.42,1.42,19,1.531
Karly,Willavize,Female,105,8/12/1954,69,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,0.85,0.85,1.06,1.06,19,1.531
Teddie,Burchill,Male,106,12/21/1968,55,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,0.97,1.21,1.52,1.29,21,1.516
Gaston,Dallaghan,Male,107,9/29/1993,30,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,0.74,0.93,1.16,0.98,21,1.516
Otis,Ottey,Male,108,2/5/1998,26,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,0.44,0.44,0.55,0.47,23,1.5
Tabbatha,Averill,Female,109,12/17/1977,46,Quality Control Specialist,n/a,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,1.06,1.33,1.66,1.66,23,1.5
Brena,Schnitter,Female,110,10/11/1982,41,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,0.49,0.49,0.61,0.52,25,1.484
Rourke,Gillbard,Male,111,8/3/1945,78,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,1.07,1.07,1.3375,1.136875,26,1.46875
Dyane,Burwell,Female,112,6/27/1952,71,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,0.51,0.64,0.8,0.68,26,1.469
Claudine,Barstowk,Female,113,7/20/1966,57,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,0.44,0.55,0.69,0.69,26,1.469
Blinnie,Roze,Female,114,12/10/1960,63,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,0.45,0.45,0.56,0.56,26,1.469
Rhona,De Freyne,Female,115,11/22/1960,63,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,0.6,0.6,0.75,0.75,30,1.4609375
Sharron,Claibourn,Female,116,1/26/1980,44,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,0.91,1.1375,1.421875,1.421875,30,1.4609375
Brien,Heaton,Male,117,11/28/1951,72,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,0.48,0.6,0.75,0.64,32,1.453
Sybilla,MacCart,Female,118,1/15/1987,37,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,0.99,1.24,1.55,1.31,32,1.453
