transaction_id,product_id,customer_id,transaction_date,Recency,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation
1,2,2950,2/25/2017,308,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,12/2/2012,17.87,Male,19,1/11/1955,69,Software Engineer I,Financial Services,Mass Customer,N,Yes,10,984 Hoepker Court,3064,VIC,Australia,6
2,3,3120,5/21/2017,223,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,3/3/2014,1702.55,Female,89,2/4/1979,45,Clinical Specialist,Health,Mass Customer,N,Yes,10,4 Shopko Circle,2196,NSW,Australia,5
3,37,402,10/16/2017,75,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,7/20/1999,1544.61,Male,9,6/3/1977,46,Desktop Support Technician,Retail,Affluent Customer,N,No,22,586 Miller Parkway,2835,NSW,Australia,1
4,88,3135,8/31/2017,121,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,12/16/1998,817.36,Male,83,1/14/1962,62,Staff Scientist,Financial Services,Mass Customer,N,No,16,1617 Harper Parkway,2096,NSW,Australia,10
6,25,2339,3/8/2017,297,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,11/10/2006,709.34,Male,3,12/28/1958,65,Web Designer II,Property,Affluent Customer,N,Yes,16,7174 Thackeray Point,2153,NSW,Australia,10
7,22,1542,4/21/2017,253,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,7/15/1993,15.08,Male,56,7/27/1978,45,Food Chemist,Health,Mass Customer,N,Yes,12,243 Mosinee Place,2155,NSW,Australia,10
8,15,2459,7/15/2017,168,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4,Female,67,1/10/1986,38,Quality Engineer,Manufacturing,High Net Worth,N,No,18,975 Annamark Hill,4034,QLD,Australia,6
9,67,1305,8/10/2017,142,FALSE,Approved,Solex,Standard,medium,large,1071.23,380.74,8/5/1991,690.49,Male,97,3/1/1970,54,Executive Secretary,Financial Services,High Net Worth,N,Yes,6,3 School Place,4124,QLD,Australia,4
10,12,3262,8/30/2017,122,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,8/17/2004,1069.55,Male,65,10/14/1959,64,Product Engineer,Entertainment,Mass Customer,N,No,12,2558 Morningstar Center,4221,QLD,Australia,8
12,61,2783,1/5/2017,359,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,6/17/2015,14.23,Male,14,8/24/1978,45,Sales Representative,Retail,Affluent Customer,N,Yes,7,13392 Emmet Parkway,2171,NSW,Australia,9
13,35,1243,2/26/2017,307,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,7/12/1994,903.11,Male,73,8/9/1953,70,Research Assistant II,Retail,Mass Customer,N,No,8,2 Eliot Lane,2155,NSW,Australia,11
14,16,2717,9/10/2017,111,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,9/9/1994,182.81,Male,31,3/25/1981,43,Registered Nurse,Health,Mass Customer,N,No,13,6994 Hanson Place,2580,NSW,Australia,5
15,12,247,6/11/2017,202,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,7/25/2004,1055.82,Female,62,5/6/1983,41,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,2 2nd Plaza,2283,NSW,Australia,4
16,3,2961,10/10/2017,81,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,9/9/2003,1702.55,Male,56,3/22/1975,49,Assistant Manager,Health,Mass Customer,N,Yes,12,8 Roxbury Way,3031,VIC,Australia,8
18,33,1842,6/2/2017,211,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,10/11/1992,144.26,Male,89,2/27/1977,47,Accountant IV,Financial Services,Mass Customer,N,No,8,9649 Cascade Way,2250,NSW,Australia,8
19,54,2268,4/6/2017,268,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,4/12/2009,1279.4,Female,66,10/7/1965,58,Pharmacist,Health,Mass Customer,N,No,19,9574 David Lane,3218,VIC,Australia,8
20,25,3002,1/28/2017,336,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,3/22/2002,709.34,Male,62,12/6/1956,67,Paralegal,Financial Services,Mass Customer,N,Yes,16,673 Comanche Parkway,2470,NSW,Australia,2
21,27,1582,10/9/2017,82,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,6/23/1999,110.81,Male,32,1/14/1978,46,Office Assistant III,Property,Mass Customer,N,No,4,85301 John Wall Road,2101,NSW,Australia,11
22,37,595,6/29/2017,184,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,7/20/1999,1544.61,Male,72,5/12/1973,50,VP Marketing,Financial Services,Mass Customer,N,No,22,0278 Elka Place,4305,QLD,Australia,4
23,37,2001,4/8/2017,266,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,5/21/2015,1544.61,Female,21,10/6/1977,46,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3,3 Bonner Point,2800,NSW,Australia,4
24,82,515,10/18/2017,73,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2/4/2016,709.34,Female,55,9/4/1989,34,Help Desk Operator,IT,High Net Worth,N,No,8,12845 Paget Lane,2026,NSW,Australia,12
25,89,2822,6/11/2017,202,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,4/20/1993,1305.25,Female,83,5/14/1981,42,Professor,n/a,Mass Customer,N,No,3,99216 Oakridge Hill,3124,VIC,Australia,12
26,64,2596,1/10/2017,354,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/21/2015,872.89,Female,51,8/20/1976,47,Assistant Professor,n/a,Affluent Customer,N,Yes,13,33782 Doe Crossing Terrace,2280,NSW,Australia,7
27,64,2666,4/11/2017,263,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,5/18/2012,872.89,Male,2,2/16/1971,53,Occupational Therapist,Health,Mass Customer,N,No,9,0 Knutson Crossing,2151,NSW,Australia,8
